ff,emissions_intensity
Fun,0.0005395
RlEst,0.0046482
Drugs,0.0047
Telcm,0.0056542
Fin,0.0091366
Autos,0.0092233
Insur,0.0102384
Hardw,0.0126581
MedEq,0.0126581
Banks,0.0163254
Books,0.0173101
Whlsl,0.0255516
Softw,0.025634
ElcEq,0.0324217
Hlth,0.0404414
BusSv,0.0407615
Rtail,0.0473125
Clths,0.0479425
Txtls,0.0479425
Cnstr,0.052277
PerSv,0.0539036
Mach,0.0571564
Boxes,0.0603736
Beer,0.0609562
Food,0.0609562
Smoke,0.0609562
Soda,0.0609562
Meals,0.0684287
Guns,0.070508
Agric,0.0883019
Paper,0.1028339
Rubbr,0.1303256
Coal,0.1633743
Mines,0.1961969
Trans,0.2186028
Chems,0.2688042
BldMt,0.3652736
Steel,0.4030855
Aero,0.5307797
Ships,1.018529
Util,3.264277
