Group,Industry,Emissions Intensity,CAGR,Annualized Vol,Sharpe,Ending Value
Low,Fun,0.0005395,0.11799024321400009,0.27274911461903917,0.3900498686158419,352.3970036345811
Low,RlEst,0.0046482,0.042822242186433046,0.26630119838863925,0.12710184353955417,9.068960646898134
Low,Drugs,0.0047,0.1186640638283658,0.17325352545710135,0.48526525089397843,363.74067806447596
Low,Telcm,0.0056542,0.10005613323871443,0.16541703582004894,0.3995293237404076,150.56730976330067
Low,Fin,0.0091366,0.11643185410633206,0.21932509359625316,0.4171350313875771,327.47453350166404
High,Util,3.264277,0.10549226275499679,0.1423725568741098,0.47373897518575425,195.12111875589295
High,Ships,1.018529,0.09955084359227828,0.2557844121006988,0.3302681045924458,146.97338744171805
High,Aero,0.5307797,0.12094132846771855,0.23881786965173127,0.4196548465573295,404.79318611991
High,Steel,0.4030855,0.06295795443271057,0.27584776933419825,0.2037811307407773,24.791579740506513
High,BldMt,0.3652736,0.10404919335565865,0.2217600332148394,0.36335920650517434,182.16908186650411
